LHR Services,0005-0299(Long Haul),0300-0999(Short Haul),1000-1299(Other),1301-1499(Domestic),8580-8699(Other)
""
LGW Services,2000-2899,8000-8399(Short Haul),8800-8899,,
""
LYC Services,3200-3299,7000-7399,8400-8499,8700-8799,
""
SOU Services,2900-2999,,,,
""
Comair,6200-6499,,,,
""
Special Services,3300-3999,9000-9999,,,
""
Code Shares,1611-1699,4000-4399,4600-6199,,
LHR Long Haul Services
,,BA0754,LHR->BSL,"BAW75C, BAW75CC, BAW754"
,,BA0755,BSL->LHR,"BAW5KC, BAW755, BAW75C"
,,BA0756,LHR->BSL,BAW756
Norway,Oslo,BA0761,OSL->LHR,BAW761
,,BA0762,LHR->OSL,"BAW8VK, BAW762"
,,BA0763,OSL->LHR,"BAW7PI, BAW763"
Austria,Innsbruck,BA0764,LHR->INN,BAW764
,,BA0765,INN->LHR,BAW765
Norway,Oslo,BA0766,LHR->OSL,BAW766
,,BA0767,OSL->LHR,"BAW767, BAW767V, BAW885R"
,,BA0768,LHR->OSL,BAW4VK
,,BA0769,OSL->LHR,"BAW76M, BAW769"
,,BA0770,LHR->OSL,BAW6VK
Sweden,Stockholm,BA0771,ARN->LHR,"BAW771, BAW771C"
Switzerland,Zurich,BA0772,LHR->ZRH,BAW772
,,BA0773,ZRH->LHR,BAW773
Sweden,Stockholm,BA0776,LHR->ARN,"BAW776F, FIN776"
,,BA0777,ARN->LHR,"BAW777C, FIN777"
,,BA0778,LHR->ARN,"BAW778F, BAW778"
,,BA0779,ARN->LHR,"BAW779C, BAW779"
,,BA0780,LHR->ARN,"BAW780F, BAW780"
,,BA0781,ARN->LHR,"BAW781C, BAW781, FIN781"
,,BA0782,LHR->ARN,"BAW782F, BAW782"
,,BA0783,ARN->LHR,"BAW783C, BAW783"
,,BA0784,LHR->ARN,"BAW784F, BAW784"
,,BA0786,LHR->ARN,"BAW786F, BAW786"
Switzerland,Geneva,BA0787,GVA->LHR,BAW787
,,BA0788,LHR->GVA,BAW788
Sweden,Gothenborg,BA0790,LHR->GOT,BAW790
,,BA0791,GOT->LHR,BAW791G
,,BA0792,LHR->GOT,BAW792
,,BA0793,GOT->LHR,BAW793
Switzerland,Geneva,BA0796,LHR->GVA,"BAW796K, BAW796"
,,BA0797,GVA->LHR,"BAW797G, BAW797"
,,BA0798,LHR->GVA,BAW798
,,BA0799,GVA->LHR,BAW799
Sweden,Gothenborg,BA0802,LHR->GOT,"BAW802, BAW8GT"
,,BA0803,GOT->LHR,"BAW8YP, BAW803"
Denmark,Copenhagen,BA0804,LHR->CPH,"BAW90BG, BAW804"
,,BA0805,CPH->LHR,BAW805
,Billund,BA0806,LHR->BLL,"BAW86LG, BAW806"
,,BA0807,BLL->LHR,"BAW807K, BAW807"
,Copenhagen,BA0808,LHR->CPH,"BAW808C, BAW808, FIN808"
,,BA0809,CPH->LHR,"BAW80W, BAW809, FIN809"
,,BA0811,CPH->LHR,BAW811
,,BA0812,LHR->CPH,BAW812
,,BA0813,CPH->LHR,"BAW813C, BAW813"
,,BA0814,LHR->CPH,"BAW814L, BAW814"
,,BA0815,CPH->LHR,"BAW815C, BAW815"
,,BA0816,LHR->CPH,BAW816
,,BA0817,CPH->LHR,BAW817
,,BA0818,LHR->CPH,"BAW8TD, BAW818"
,,BA0819,CPH->LHR,BAW819K
,,BA0820,LHR->CPH,BAW820
,,BA0822,LHR->CPH,BAW822
Ireland,Dublin,BA0824,LHR->DUB,"BAW82DM, BAW824"
,,BA0826,LHR->DUB,"BAW826Q, BAW826"
,,BA0827,DUB->LHR,"BAW42DB, BAW827"
,,BA0828,LHR->DUB,"BAW828Y, BAW828"
,,BA0829,DUB->LHR,"BAW8ER, BAW829"
,,BA0830,LHR->DUB,"BAW830D, BAW830"
,,BA0831,DUB->LHR,"BAW831S, BAW831"
,,BA0832,LHR->DUB,"BAW84W, BAW832"
,,BA0833,DUB->LHR,"BAW38DB, BAW833"
,,BA0834,LHR->DUB,BAW834
,,BA0835,DUB->LHR,"BAW835W, BAW835"
,,BA0836,LHR->DUB,"BAW84DM, BAW836"
,,BA0837,DUB->LHR,"BAW8X, BAW837"
,,BA0838,LHR->DUB,"BAW85Q, BAW838"
,,BA0839,DUB->LHR,"BAW83DG, BAW839"
Poland,Warsaw,BA0842,LHR->WAW,BAW842
,,BA0843,WAW->LHR,BAW843
Ireland,Dublin,BA0845,DUB->LHR,"BAW845D, BAW845"
Poland,Warsaw,BA0846,LHR->WAW,"BAW846W, BAW846"
,,BA0847,WAW->LHR,"BAW847, FIN84NT"
Croatia,Zagreb,BA0848,LHR->ZAG,"BAW48G, BAW848"
,,BA0849,ZAG->LHR,"BAW85GA, BAW849"
Poland,Warsaw,BA0850,LHR->WAW,"BAW850T, BAW850, FIN850"
,,BA0851,WAW->LHR,"BAW851W, BAW851, FIN851"
Czech Republic,Prague,BA0852,LHR->PRG,BAW852
,,BA0853,PRG->LHR,"BAW853S, BAW853"
,,BA0854,LHR->PRG,"BAW8NG, BAW854"
,,BA0855,PRG->LHR,"BAW85U, BAW855"
,,BA0856,LHR->PRG,"BAW856Z, BAW856"
,,BA0857,PRG->LHR,"BAW34V, BAW857"
,,BA0858,LHR->PRG,BAW858
,,BA0859,PRG->LHR,"BAW859P, BAW859"
,,BA0860,LHR->PRG,"BAW860J, BAW860"
,,BA0861,PRG->LHR,"BAW86S, BAW861"
Hungary,Budapest,BA0864,LHR->BUD,BAW864
,,BA0865,BUD->LHR,"BAW16HV, BAW865"
,,BA0866,LHR->BUD,"BAW866H, BAW866"
,,BA0867,BUD->LHR,"BAW12DT, BAW867"
,,BA0868,LHR->BUD,"BAW68H, BAW868"
,,BA0869,BUD->LHR,"BAW869, BAW68H"
,,BA0870,LHR->BUD,BAW870
,,BA0871,BUD->LHR,BAW871
Poland,Krakow,BA0872,LHR->KRK,"BAW12P, BAW872"
,,BA0873,KRK->LHR,"BAW8TK, BAW873"
,Warsaw,BA0878,LHR->WAW,"BAW8LV, BAW878"
,,BA0879,WAW->LHR,"BAW87B, BAW879"
Latvia,Riga,BA0880,LHR->RIX,BAW880
,,BA0881,RIX->LHR,BAW881
Romania,Bucharest,BA0884,LHR->OTP,"BAW84KV, BAW884"
,,BA0885,OTP->LHR,"BAW885R, BAW885"
,,BA0886,LHR->OTP,"BAW886Q, BAW886"
,,BA0887,OTP->LHR,"BAW8TP, BAW887"
Serbia,Belgrade,BA0888,LHR->BEG,BAW8GB
,,BA0889,BEG->LHR,"BAW89EG, BAW889"
Bulgaria,Sofia,BA0890,LHR->SOF,BAW890
,,BA0891,SOF->LHR,"BAW91BG, BAW891"
Iceland,Keflavik,BA0894,LHR->KEF,BAW894
,,BA0895,KEF->LHR,BAW895
,,BA0896,LHR->KEF,BAW896
,,BA0897,KEF->LHR,BAW897
Germany,Frankfurt,BA0901,FRA->LHR,"BAW901U, BAW901"
,,BA0902,LHR->FRA,"BAW902N, BAW902"
,,BA0903,FRA->LHR,"BAW903U, BAW903"
,,BA0904,LHR->FRA,"BAW904N, BAW904"
,,BA0905,FRA->LHR,"BAW905U, BAW905"
,,BA0906,LHR->FRA,BAW906N
,,BA0907,FRA->LHR,BAW907U
,,BA0908,LHR->FRA,"BAW908N, BAW908"
,,BA0909,FRA->LHR,"BAW909U, BAW909"
,,BA0910,LHR->FRA,"BAW910N, BAW910"
,,BA0911,FRA->LHR,"BAW911U, BAW911"
,,BA0912,LHR->FRA,"BAW912N, BAW912"
,,BA0913,FRA->LHR,"BAW913, BAW913U"
,,BA0914,LHR->FRA,"BAW914N, BAW914"
,,BA0915,FRA->LHR,"BAW915U, BAW915"
,,BA0916,LHR->FRA,"BAW916N, BAW916"
,Stuttgart,BA0917,STR->LHR,BAW917
,,BA0918,LHR->STR,"BAW918S, BAW918"
,,BA0919,STR->LHR,"BAW3HK, BAW919"
,,BA0920,LHR->STR,"BAW920X, BAW920"
,,BA0922,LHR->STR,"BAW92RU, BAW922"
,,BA0923,STR->LHR,"BAW923Y, BAW923"
,Nuernberg,BA0924,LHR->NUE,"BAW9JA, BAW924"
,,BA0925,NUE->LHR,"BAW925, BAW95T"
,Munich,BA0926,LHR->MUC,"BAW926M, BAW926"
,,BA0927,MUC->LHR,"BAW927L, BAW927"
,Nuernberg,BA0930,LHR->NUE,BAW930
,,BA0931,NUE->LHR,BAW931
,Duesseldorf,BA0932,LHR->DUS,BAW932
,,BA0933,DUS->LHR,"BAW6DU, BAW933"
,,BA0935,DUS->LHR,"BAW9WQ, BAW935"
,,BA0936,LHR->DUS,BAW936
,,BA0937,DUS->LHR,"BAW97FV, BAW937"
,,BA0938,LHR->DUS,BAW938
,,BA0939,DUS->LHR,"BAW3XA, BAW939"
,,BA0940,LHR->DUS,BAW940
,,BA0941,DUS->LHR,"BAW1DL, BAW941"
,,BA0942,LHR->DUS,BAW2LT
,,BA0943,DUS->LHR,BAW3DL
,,BA0944,LHR->DUS,BAW4LT
,,BA0945,DUS->LHR,BAW5DL
,,BA0946,LHR->DUS,BAW946
,Munich,BA0947,MUC->LHR,"BAW947L, BAW947"
,,BA0948,LHR->MUC,"BAW948M, BAW948"
,,BA0949,MUC->LHR,"BAW949L, BAW949"
,,BA0950,LHR->MUC,"BAW950M, BAW950"
,,BA0951,MUC->LHR,"BAW951L, BAW951"
,,BA0952,LHR->MUC,"BAW952, BAW952M"
,,BA0953,MUC->LHR,"BAW953L, BAW953"
,,BA0954,LHR->MUC,"BAW954M, BAW954"
,,BA0955,MUC->LHR,"BAW955L, BAW955"
,Hannover,BA0956,LHR->HAJ,BAW956
,,BA0957,HAJ->LHR,BAW957
,Munich,BA0958,LHR->MUC,"BAW958M, BAW958"
,,BA0960,LHR->MUC,"BAW960M, BAW960, FIN960"
,,BA0961,MUC->LHR,"BAW961, BAW961L"
,Hamburg,BA0962,LHR->HAM,"BAW962H, BAW962"
,,BA0963,HAM->LHR,"BAW963C, BAW963"
,,BA0964,LHR->HAM,"BAW964H, BAW964"
,,BA0965,HAM->LHR,BAW965
,,BA0966,LHR->HAM,"BAW96E, BAW966"
,,BA0967,HAM->LHR,"BAW967, BAW94HG"
,,BA0969,HAM->LHR,"BAW969H, BAW969"
,,BA0972,LHR->HAM,BAW972
,,BA0974,LHR->HAM,BAW974
,,BA0975,HAM->LHR,"BAW975H, BAW975"
,Hannover,BA0976,LHR->HAJ,"BAW976K, BAW976"
,,BA0977,HAJ->LHR,"BAW977J, BAW977"
,,BA0978,LHR->HAJ,"BAW978J, BAW978"
,,BA0979,HAJ->LHR,"BAW97DV, BAW979"
,Berlin,BA0981,BER->LHR,"BAW4CB, BAW981"
,,BA0982,LHR->BER,BAW982
,,BA0983,BER->LHR,BAW983
,,BA0984,LHR->BER,BAW984
,,BA0985,BER->LHR,"BAW98BL, BAW985"
,,BA0986,LHR->BER,"FIN986G, BAW986"
,,BA0987,BER->LHR,"FIN87AM, BAW987"
,,BA0988,LHR->BER,BAW988
,,BA0990,LHR->BER,BAW990
,,BA0991,BER->LHR,"BAW91J, BAW991"
,,BA0992,LHR->BER,"BAW992G, BAW992"
,,BA0993,BER->LHR,"BAW8RM, BAW993"
,,BA0994,LHR->BER,"BAW994G, BAW994"
,,BA0995,BER->LHR,"BAW9GM, BAW995"
,Cologne,BA0996,LHR->CGN,BAW996
,,BA0997,CGN->LHR,BAW997
,,BA0998,LHR->CGN,BAW998
,,BA0999,CGN->LHR,BAW999
Other LHR Services
Country,City,Flight,Route,Call Signs
LHR Domestic Services
Country,City,Flight,Route,Call Signs
United Kingdom,Aberdeen,BA1301,ABZ->LHR,"SHT19S, BAW1301"
,,BA1303,ABZ->LHR,"SHT19N, BAW1303"
,,BA1304,LHR->ABZ,"SHT18Z, BAW1304"
,,BA1305,ABZ->LHR,"SHT19U, BAW1305"
,,BA1306,LHR->ABZ,"SHT18A, BAW1306"
,,BA1307,ABZ->LHR,"SHT19M, BAW1307, SHT119M"
,,BA1308,LHR->ABZ,"SHT18C, BAW1308"
,,BA1309,ABZ->LHR,"SHT19A, BAW1309"
,,BA1310,LHR->ABZ,"SHT18D, BAW1310"
,,BA1311,ABZ->LHR,"SHT19P, BAW1311"
,,BA1312,LHR->ABZ,"SHT18F, BAW1312"
,,BA1313,ABZ->LHR,"SHT19T, BAW1313"
,,BA1314,LHR->ABZ,"SHT18V, BAW1314"
,,BA1315,ABZ->LHR,"SHT19B, BAW1315"
,,BA1316,LHR->ABZ,"SHT18E, BAW1316"
,,BA1317,ABZ->LHR,"SHT19G, BAW1317"
,,BA1318,LHR->ABZ,"SHT18H, BAW1318"
,Newcastle,BA1321,NCL->LHR,"SHT13C, BAW1321"
,,BA1324,LHR->NCL,"SHT12K, BAW1324"
,,BA1325,NCL->LHR,"BAW1325, SHT13E"
,,BA1326,LHR->NCL,"SHT12H, BAW1326"
,,BA1327,NCL->LHR,"BAW1327, SHT13H"
,,BA1328,LHR->NCL,"SHT12W, BAW1328, SHT12P"
,,BA1329,NCL->LHR,"SHT13W, BAW1329"
,,BA1331,->,SUS1331
,,BA1332,->AGB,SUS1332
United Kingdom,Newcastle,BA1334,LHR->NCL,"SHT12Z, BAW1334"
,,BA1335,NCL->LHR,"SHT13K, BAW1335"
,,BA1336,LHR->NCL,"BAW1336, SHT12Q"
,,BA1337,NCL->LHR,"SHT13L, BAW1337"
,,BA1338,LHR->NCL,"BAW1338, SHT12T"
Jersey,Jersey,BA1339,JER->LHR,"SHT15A, BAW1339"
,,BA1340,LHR->JER,"SHT14G, BAW1340"
,,BA1341,JER->LHR,"SHT15B, BAW1341"
,,BA1344,LHR->JER,"SHT14H, BAW1344"
,,BA1345,JER->LHR,"BAW1345, SHT15C, SHT5C"
,,BA1346,LHR->JER,"SHT14K, BAW1346"
,,BA1347,JER->LHR,"SHT15D, BAW1347"
,,BA1348,LHR->JER,"SHT14L, BAW1348"
,,BA1349,JER->LHR,"SHT15E, BAW1349"
,,BA1352,LHR->JER,"SHT14M, BAW1352"
United Kingdom,Manchester,BA1370,LHR->MAN,"SHT2L, BAW1370"
,,BA1371,MAN->LHR,"SHT3G, BAW1371"
,,BA1372,LHR->MAN,SHT2N
,,BA1373,MAN->LHR,SHT3H
,,BA1386,LHR->MAN,"SHT2J, BAW1386"
,,BA1387,MAN->LHR,"SHT3P, BAW1387"
,,BA1388,LHR->MAN,"SHT2M, BAW1388"
,,BA1389,MAN->LHR,"SHT3R, BAW1389"
,,BA1390,LHR->MAN,"SHT2Q, BAW1390"
,,BA1391,MAN->LHR,"SHT3U, BAW1391"
,,BA1393,MAN->LHR,"SHT3X, BAW1393"
,,BA1394,LHR->MAN,"BAW1394, SHT2V"
,,BA1396,LHR->MAN,"SHT2P, BAW1396"
,,BA1398,LHR->MAN,"SHT2G, BAW1398"
,,BA1399,MAN->LHR,"SHT3L, BAW1399"
,,BA1402,LHR->MAN,"SHT2K, BAW1402"
,,BA1403,MAN->LHR,"SHT3V, BAW1403"
,,BA1405,MAN->LHR,"SHT3T, BAW1405"
,Belfast,BA1414,LHR->BHD,"SHT4A, BAW1414"
,,BA1416,LHR->BHD,"SHT4B, BAW1416"
,,BA1417,BHD->LHR,"SHT5X, BAW1417"
,,BA1418,LHR->BHD,"SHT4C, BAW1418"
,,BA1419,BHD->LHR,"SHT5W, BAW1419"
,,BA1420,LHR->BHD,"SHT4D, BAW1420"
,,BA1421,BHD->LHR,"SHT5V, BAW1421"
,,BA1422,LHR->BHD,"BAW1422, SHT4E"
,,BA1423,BHD->LHR,"SHT5U, BAW1423"
,,BA1428,LHR->BHD,"SHT4G, BAW1428"
,,BA1429,BHD->LHR,"SHT5F, BAW1429"
,,BA1431,BHD->LHR,"SHT5P, BAW1431"
,Edinburgh,BA1432,LHR->EDI,"SHT8B, BAW1432"
,,BA1433,EDI->LHR,"SHT9T, BAW1433"
,,BA1434,LHR->EDI,"BAW1434, SHT8F"
,,BA1435,EDI->LHR,"SHT9U, BAW1435"
,,BA1436,LHR->EDI,"SHT8T, BAW1436"
,,BA1437,EDI->LHR,"SHT9W, BAW1437"
,,BA1438,LHR->EDI,"SHT8K, BAW1438"
,,BA1439,EDI->LHR,"SHT9A, BAW1439"
,,BA1440,LHR->EDI,"SHT8G, BAW1440"
,,BA1441,EDI->LHR,"SHT9Z, BAW1441"
,,BA1442,LHR->EDI,"SHT8R, BAW1442"
,,BA1443,EDI->LHR,"SHT9B, BAW1443"
,,BA1444,LHR->EDI,"SHT8W, BAW1444"
,,BA1445,EDI->LHR,"SHT9J, BAW1445"
,,BA1446,LHR->EDI,"SHT8Y, BAW1446"
,,BA1447,EDI->LHR,"SHT9G, BAW1447"
,,BA1448,LHR->EDI,"SHT8A, BAW1448"
,,BA1449,EDI->LHR,"BAW1449, SHT9K"
,,BA1452,LHR->EDI,"SHT8U, BAW1452"
,,BA1454,LHR->EDI,"BAW1454, SHT8H"
,,BA1455,EDI->LHR,"SHT9D, BAW1455"
,,BA1456,LHR->EDI,"SHT8Q, BAW1456"
,,BA1457,EDI->LHR,"SHT9Q, BAW1457"
,,BA1459,EDI->LHR,"SHT9Y, BAW1459"
,,BA1464,LHR->EDI,"SHT8S, BAW1464"
,Inverness,BA1468,LHR->INV,"SHT16E, BAW1468"
,,BA1469,INV->LHR,"SHT17Y, BAW1469"
,Glasgow,BA1472,LHR->GLA,"BAW1472, SHT6C"
,,BA1473,GLA->LHR,SHT7R
,,BA1474,LHR->GLA,"SHT6G, BAW1474"
,,BA1475,GLA->LHR,"SHT7S, BAW1475"
,,BA1476,LHR->GLA,"SHT6L, BAW1476"
,,BA1477,GLA->LHR,"SHT7T, BAW1477"
,,BA1478,LHR->GLA,"BAW1478, SHT6N"
,,BA1479,GLA->LHR,"SHT7C, BAW1479"
,,BA1480,LGW->GLA,"SHT6V, BAW1480"
,,BA1481,GLA->LGW,"BAW1481, SHT7N"
,,BA1482,LHR->GLA,"SHT6T, BAW1482"
,,BA1483,GLA->LHR,"BAW1483, SHT7Z"
,,BA1484,LHR->GLA,"SHT6Y, BAW1484"
,,BA1486,LHR->GLA,"SHT6E, BAW1486"
,,BA1487,GLA->LHR,"SHT7H, BAW1487"
,,BA1488,LHR->GLA,"SHT6F, BAW1488"
,,BA1489,GLA->LHR,"SHT7P, BAW1489"
,,BA1491,GLA->LHR,SHT7J
,,BA1492,LHR->GLA,"SHT6J, BAW1492"
,,BA1493,GLA->LHR,"SHT7U, BAW1493"
,,BA1494,LHR->GLA,"BAW1494, SHT6M"
,,BA1495,GLA->LHR,"SHT7X, BAW1495"
,,BA1497,GLA->LHR,"SHT7A, BAW1497"
,,BA1498,LHR->GLA,"SHT6U, BAW1498"
,,BA1499,GLA->LHR,"SHT7B, BAW1499"
LGW Services
Country,City,Flight,Route,Call Signs
Qatar,Doha,BA2032,DOH->LGW,BAW2032
,,BA2033,LGW->DOH,BAW2033
United States,Orlando,BA2036,MCO->LGW,"BAW63H, BAW2036"
,,BA2037,LGW->MCO,"BAW43C, BAW2037"
South Africa,Cape Town,BA2040,CPT->LGW,BAW2040
,,BA2041,LGW->CPT,BAW2041
Mauritius,Plaisance,BA2064,MRU->LGW,BAW2064
,,BA2065,LGW->MRU,BAW2065
Ghana,Accra,BA2066,ACC->LGW,BAW2066
,,BA2067,LGW->ACC,BAW2067
Barbados,Bridgetown,BA2154,BGI->LGW,"BAW214B, BAW2154"
,,BA2155,LGW->BGI,BAW2155
Antigua and Barbuda,Antigua,BA2156,ANU->LGW,"BAW16PA, BAW2156"
,,BA2157,LGW->ANU,"BAW17PA, BAW2157"
Saint Lucia,Hewandorra,BA2158,UVF->LGW,"BAW5KW, BAW2158"
,,BA2159,LGW->UVF,"BAW9VA, BAW2159"
United States,Tampa,BA2166,TPA->LGW,"BAW12TB, BAW2166"
,,BA2167,LGW->TPA,"BAW12J, BAW2167"
Mexico,Cancun,BA2200,CUN->LGW,BAW2200
,,BA2202,CUN->LGW,BAW2202
,,BA2203,LGW->CUN,BAW2203
Dominican Republic,Punta Cana,BA2204,PUJ->LGW,BAW2204
,,BA2205,LGW->PUJ,"BAW22G, BAW2205"
United Kingdom,Edinburgh,BA2217,EDI->LCY,CFE2217
United States,Dallas-Fort Worth,BA2224,DFW->MSY,AAL2224
Costa Rica,San Jose,BA2236,SJO->LGW,BAW2236
,,BA2237,LGW->SJO,BAW2237
Trinidad and Tobago,Port-of-spain,BA2238,POS->LGW,BAW2238
,,BA2239,LGW->POS,BAW2239
Antigua and Barbuda,Antigua,BA2256,ANU->LGW,BAW2256
Jamaica,Kingston,BA2262,KIN->LGW,BAW25K
,,BA2263,LGW->KIN,"BAW23K, BAW2263"
United States,New York,BA2272,JFK->LGW,BAW2JA
,,BA2273,LGW->JFK,BAW2273
Switzerland,Geneva,BA2280,GVA->LCY,"CFE6GK, CFE2280"
,,BA2281,LCY->GVA,"CFE1AM, CFE2281"
,,BA2283,LCY->GVA,"CFE2283, CFE28A"
,,BA2284,GVA->LCY,CFE2284
,,BA2286,GVA->LCY,CFE2286
,,BA2287,LCY->GVA,"CFE5VZ, CFE2287"
France,Chambery,BA2340,CMF->EDI,CFE2340
United Kingdom,Edinburgh,BA2341,EDI->CMF,CFE2341
Netherlands,Amsterdam,BA2540,LGW->AMS,"EFW72R, EFW2540"
,,BA2541,AMS->LGW,"EFW89S, EFW2541"
,,BA2542,LGW->AMS,"EFW2542, EFW88K, EFW89S"
,,BA2543,AMS->LGW,"EFW52K, EFW2543"
,,BA2544,LGW->AMS,"EFW99F, EFW2544"
,,BA2545,AMS->LGW,"EFW38J, EFW2545"
,,BA2546,LGW->AMS,"EFW75D, EFW2546"
,,BA2547,AMS->LGW,"EFW2547, EFW64M"
Switzerland,Geneva,BA2550,LGW->GVA,"EFW45P, EFW2550"
,,BA2551,GVA->LGW,"EFW62P, EFW2551, EFW88K"
,,BA2552,LGW->GVA,"EFW4SJ, EFW2552"
,,BA2553,GVA->LGW,"EFW45D, EFW2553"
,,BA2554,LGW->GVA,"EFW79T, EFW2554"
,,BA2555,GVA->LGW,"EFW85W, EFW2555"
,,BA2556,LGW->GVA,EFW37G
,,BA2557,GVA->LGW,"EFW8TT, EFW2557"
,,BA2558,LGW->GVA,"EFW55K, EFW9BB, EFW2558"
,,BA2559,GVA->LGW,"EFW9BB, EFW2559"
,,BA2560,LGW->GVA,"EFW38W, EFW2560"
,,BA2561,GVA->LGW,"EFW4EE, EFW2561"
,,BA2562,LGW->GVA,EFW58U
,,BA2563,GVA->LGW,"EFW7UU, EFW2563"
,,BA2564,LGW->GVA,"EFW69F, EFW2564"
,,BA2565,GVA->LGW,"EFW3CC, EFW2565"
France,Bordeaux,BA2570,LGW->BOD,"EFW2570, EFW43G"
,,BA2571,BOD->LGW,"EFW65V, EFW2571"
,Nice,BA2574,LGW->NCE,"EFW5ZL, EFW2574"
,,BA2575,NCE->LGW,"EFW77I, EFW2575"
,Lyon,BA2580,LGW->LYS,"EFW79N, EFW2580"
,,BA2581,LYS->LGW,"EFW39T, EFW2581"
,,BA2582,LGW->LYS,"EFW72V, EFW2582"
,,BA2583,LYS->LGW,EFW87G
Italy,Villafranca,BA2590,LGW->VRN,"EFW54U, EFW2590"
,,BA2591,VRN->LGW,"EFW4TM, EFW2591"
,,BA2592,LGW->VRN,"EFW76T, EFW86X, EFW2592"
,,BA2593,VRN->LGW,"EFW86X, EFW2593"
,Torino,BA2594,LGW->TRN,"EFW57Z, EFW40R, EFW2594"
,,BA2595,TRN->LGW,EFW44G
,,BA2596,LGW->TRN,"EFW45Y, EFW2596"
,,BA2597,TRN->LGW,"EFW57G, EFW2597"
,,BA2598,LGW->TRN,"EFW97H, EFW2598"
,,BA2599,TRN->LGW,"EFW79U, EFW2599"
Malta,Malta,BA2614,LGW->MLA,"EFW87W, EFW2614"
,,BA2615,MLA->LGW,"EFW42N, EFW2615"
Austria,Innsbruck,BA2620,LGW->INN,"EFW2620, EFW82B"
,,BA2621,INN->LGW,"EFW93L, EFW2621"
,,BA2622,LGW->INN,"EFW54Z, EFW2622"
,,BA2623,INN->LGW,"EFW2623, EFW57Y"
,Salzburg,BA2624,LGW->SZG,"EFW96U, EFW2624"
,,BA2625,SZG->LGW,"EFW42Z, EFW2625"
,,BA2626,LGW->SZG,"EFW64F, EFW2626"
,,BA2627,SZG->LGW,"EFW44A, EFW2627"
,,BA2628,LGW->SZG,"EFW72E, EFW2628"
,,BA2629,SZG->LGW,"EFW65T, EFW2629"
,,BA2630,LGW->SZG,EFW68B
,,BA2631,SZG->LGW,EFW43K
,,BA2632,LGW->SZG,"EFW39D, EFW2632"
,,BA2633,SZG->LGW,"EFW56K, EFW2633"
Spain,Malaga,BA2640,LGW->AGP,"EFW92L, EFW2640"
,,BA2641,AGP->LGW,"EFW4GG, EFW2641"
,,BA2642,LGW->AGP,"EFW50U, EFW2642"
,,BA2643,AGP->LGW,"EFW93E, EFW2643"
,Sevilla,BA2650,LGW->SVQ,"EFW9LG, EFW2650"
,,BA2651,SVQ->LGW,"EFW86S, EFW2651"
,Alicante,BA2654,LGW->ALC,"EFW49S, EFW2654"
,,BA2655,ALC->LGW,"EFW2655, EFW96T"
,,BA2656,LGW->ALC,"EFW4LD, EFW2656"
,,BA2657,ALC->LGW,EFW48J
Portugal,Faro,BA2660,LGW->FAO,"EFW97D, EFW2660"
,,BA2661,FAO->LGW,"EFW40R, EFW2661"
,,BA2662,LGW->FAO,"EFW69B, EFW2662"
,,BA2663,FAO->LGW,"EFW64R, EFW2663"
,Porto,BA2666,LGW->OPO,"EFW77C, EFW2666"
,,BA2667,OPO->LGW,"EFW95B, EFW2667"
Spain,Palma de Mallorca,BA2670,LGW->PMI,"EFW9XT, EFW2670"
,,BA2671,PMI->LGW,"EFW4XV, EFW2671"
,Tenerife,BA2700,LGW->TFS,"EFW70X, EFW2700"
,,BA2701,TFS->LGW,"EFW4BK, EFW2701, EFW49K"
,,BA2702,LGW->TFS,"EFW82Y, EFW2702"
,,BA2703,TFS->LGW,"EFW2703, EFW78F"
,Arrecife,BA2704,LGW->ACE,"EFW75S, EFW2704"
,,BA2705,ACE->LGW,"EFW87V, EFW2705"
,Gran Canaria,BA2706,LGW->LPA,"EFW42K, EFW2706"
,,BA2707,LPA->LGW,"EFW47F, EFW2707"
,Fuerteventura,BA2710,LGW->FUE,"EFW75A, EFW53L"
,,BA2711,FUE->LGW,"EFW53L, EFW2711"
Cyprus,Paphos,BA2780,LGW->PFO,EFW78S
,,BA2781,PFO->LGW,"EFW55U, EFW2781"
Morocco,Marrakech,BA2810,LGW->RAK,"EFW80L, EFW2810"
,,BA2811,RAK->LGW,"EFW49H, EFW2811"
,,BA2812,LGW->RAK,EFW84H
,,BA2813,RAK->LGW,"EFW45N, EFW2813"
Egypt,Sharm El Sheikh,BA2814,LGW->SSH,"EFW38H, EFW2814"
,,BA2815,SSH->LGW,"EFW72Z, EFW2815"
Algeria,Algier,BA2816,LGW->ALG,EFW2816
,,BA2817,ALG->LGW,EFW2817
Southampton Services
Country,City,Flight,Route,Call Signs
United Kingdom,Edinburgh,BA2900,SOU->EDI,CFE2900
France,Chambery,BA2935,SOU->CMF,CFE2935
,,BA2936,CMF->SOU,CFE2936
United Kingdom,Edinburgh,BA2939,EDI->SOU,CFE2939
LCY Services
Country,City,Flight,Route,Call Signs
Germany,Duesseldorf,BA3270,DUS->LCY,CFE3270
,,BA3271,LCY->DUS,CFE1JB
,,BA3272,DUS->LCY,CFE3272
,,BA3273,LCY->DUS,"CFE1DB, CFE3273"
,,BA3274,DUS->LCY,"CFE21U, CFE3274"
,,BA3275,LCY->DUS,CFE3275
,,BA3276,DUS->LCY,"CFE75J, CFE3276"
,,BA3277,LCY->DUS,"CFE39P, CFE3277"
Italy,Florence,BA3279,LCY->FLR,"CFE3279, CFE56D"
