LHR Services,0005-0299(Long Haul),0300-0999(Short Haul),1000-1299(Other),1301-1499(Domestic),8580-8699(Other)
""
LGW Services,2000-2899,8000-8399(Short Haul),8800-8899,,
""
LYC Services,3200-3299,7000-7399,8400-8499,8700-8799,
""
SOU Services,2900-2999,,,,
""
Comair,6200-6499,,,,
""
Special Services,3300-3999,9000-9999,,,
""
Code Shares,1611-1699,4000-4399,4600-6199,,
LHR Long Haul Services
,,BA0183,LHR->JFK,BAW183
,Newark,BA0184,EWR->LHR,BAW9E
,,BA0185,LHR->EWR,BAW185
,,BA0188,EWR->LHR,BAW188
,,BA0189,LHR->EWR,BAW189
,Austin,BA0190,AUS->LHR,"BAW19W, BAW190"
,,BA0191,LHR->AUS,"BAW91C, BAW191"
,Dallas-Fort Worth,BA0192,DFW->LHR,"BAW8K, BAW192"
,,BA0193,LHR->DFW,"BAW9A, BAW193"
,Houston,BA0194,IAH->LHR,"BAW81V, BAW194"
,,BA0195,LHR->IAH,"BAW26E, BAW195"
,,BA0196,IAH->LHR,"BAW196E, BAW196"
,,BA0197,LHR->IAH,BAW97A
India,Mumbai,BA0198,BOM->LHR,BAW198
,,BA0199,LHR->BOM,BAW199
United States,Boston,BA0202,BOS->LHR,BAW51B
,,BA0203,LHR->BOS,BAW50G
,Miami,BA0206,MIA->LHR,"BAW6W, BAW206"
,,BA0207,LHR->MIA,"BAW3Z, BAW207"
,,BA0208,MIA->LHR,"BAW34N, BAW208"
,,BA0209,LHR->MIA,BAW209
,Boston,BA0212,BOS->LHR,"BAW2CM, BAW212"
,,BA0213,LHR->BOS,"BAW5BM, BAW13G, BAW213"
,Washington,BA0216,IAD->LHR,BAW216
,,BA0217,LHR->IAD,"BAW7W, BAW217"
,Denver,BA0218,DEN->LHR,"BAW21ML, BAW218, BAW219V"
,,BA0219,LHR->DEN,"BAW219V, BAW219"
,Nashville,BA0222,BNA->LHR,"BAW22E, BAW222"
,,BA0223,LHR->BNA,"BAW223N, BAW223"
,New Orleans,BA0224,MSY->LHR,"BAW224U, BAW224"
,,BA0225,LHR->MSY,"BAW225Y, BAW225"
,Atlanta,BA0226,ATL->LHR,"BAW23T, BAW226"
,,BA0227,LHR->ATL,"BAW7TG, BAW227"
,Baltimore,BA0228,BWI->LHR,"BAW228, BAW2LJ"
,,BA0229,LHR->BWI,"BAW22B, BAW229"
,Boston,BA0238,BOS->LHR,"BAW29G, BAW238"
,,BA0239,LHR->BOS,BAW239
Mexico,Mexico City,BA0242,MEX->LHR,BAW242
,,BA0243,LHR->MEX,BAW243
Brazil,Sao Paulo,BA0246,GRU->LHR,BAW246
,,BA0247,LHR->GRU,BAW247
,Rio De Janeiro,BA0248,GIG->LHR,"BAW248, BAW248D"
,,BA0249,LHR->GIG,"BAW249D, BAW249"
Chile,Santiago,BA0250,SCL->LHR,BAW250
,,BA0251,LHR->SCL,BAW251
Bahamas,Nassau,BA0252,NAS->LHR,"BAW252M, BAW252"
,,BA0253,LHR->NAS,"BAW253M, BAW253"
Barbados,Bridgetown,BA0254,BGI->LHR,"BAW25GP, BAW254"
,,BA0255,LHR->BGI,BAW255
India,Delhi,BA0256,DEL->LHR,BAW256
,,BA0257,LHR->DEL,BAW257
Pakistan,Islamabad,BA0260,ISB->LHR,BAW260
,,BA0261,LHR->ISB,BAW261
Saudi Arabia,Riyadh,BA0262,RUH->LHR,BAW262
,,BA0263,LHR->RUH,BAW263
United States,Portland,BA0266,PDX->LHR,BAW26V
,,BA0267,LHR->PDX,BAW71K
,Los Angeles,BA0268,LAX->LHR,BAW4Q
,,BA0269,LHR->LAX,"BAW7J, BAW269"
,San Diego,BA0272,SAN->LHR,"BAW9SW, BAW272"
,,BA0273,LHR->SAN,"BAW82P, BAW273"
,Las Vegas,BA0274,LAS->LHR,"BAW4LV, BAW274"
,,BA0275,LHR->LAS,"BAW2MW, BAW275"
India,Hyderabad,BA0276,HYD->LHR,BAW276
,,BA0277,LHR->HYD,BAW277
United States,Los Angeles,BA0280,LAX->LHR,BAW28F
,,BA0281,LHR->LAX,BAW21B
